NrRegisto,DataRegisto,NomeAlojamento,Modalidade,NrCamas,NrUtentes,MoradaFornecida,CodPostal,Freguesia,RuaPadronizada,RuaMatch,LimpezaDados,Ano,Mes,NrPredio,Endereco,Latitude,Longitude
10/AL,2014-11-28,Lisbon Inn / Glória 8,Apartamento,6.0,6,"Rua Santo António da Glória, 1",1250-214,Santo António,rua santo antónio da glória,rua de santo antónio da glória,done,2014,11,1.0,"rua de santo antónio da glória, 1",38.7165633,-9.1440239
100021/AL,2019-07-16,Femenino Camara,Apartamento,5.0,6,"Travessa Pinheiro, 11",1200-763,Estrela,travessa pinheiro,travessa do pinheiro,done,2019,7,11.0,"travessa do pinheiro, 11",38.7121502,-9.1593992
100023/AL,2019-07-16,Baixa Charmoso e Luminoso 1 Quarto com Vista e Garagm,Apartamento,2.0,3,"Rua São Julião, 96",1100-526,Santa Maria Maior,rua são julião,rua de são julião,done,2019,7,96.0,"rua de são julião, 96",38.7094063,-9.1366478
100025/AL,2019-07-16,Le Flat Campolide,Apartamento,1.0,2,"Rua Dom Carlos de Mascarenhas, 26",1070-083,Campolide,rua dom carlos de mascarenhas,rua dom carlos de mascarenhas,done,2019,7,26.0,"rua dom carlos de mascarenhas, 26",38.7278463,-9.1632509
100026/AL,2019-07-16,Vila Rodrigues 8,Estabelecimento de hospedagem,7.0,14,Beco Bombarda nº 52,1100-096,Arroios,beco bombarda,beco da bombarda,done,2019,7,52.0,"beco da bombarda, 52",38.7205331,-9.133876
100027/AL,2019-07-16,Dalma Flats,Apartamento,30.0,30,"Largo do Regedor, 10",1150-194,Santa Maria Maior,largo do regedor,largo do regedor,done,2019,7,10.0,"largo do regedor, 10",38.7150564,-9.1397954
100030/AL,2019-07-16,Praça do Comércio Apart 1 quarto com vistas e garagem,Apartamento,2.0,3,"Rua São Julião, 96",1100-526,Santa Maria Maior,rua são julião,rua de são julião,done,2019,7,96.0,"rua de são julião, 96",38.7094063,-9.1366478
100109/AL,2019-07-17,J C APT,Apartamento,4.0,8,"Rua António Pereira Carrilho, 36",1000-047,Arroios,rua antónio pereira carrilho,rua antónio pereira carrilho,done,2019,7,36.0,"rua antónio pereira carrilho, 36",38.7344516,-9.1364704
100110/AL,2019-07-17,La petite maison de Lapa,Apartamento,2.0,6,"Rua Lapa, 59",1200-700,Estrela,rua lapa,rua da lapa,done,2019,7,59.0,"rua da lapa, 59",38.7101711,-9.1599945
100192/AL,2019-07-18,My Spot Penha de França,Apartamento,4.0,7,"Rua Marques da Silva, 17",1170-224,Penha de França,rua marques da silva,rua marques da silva,done,2019,7,17.0,"rua marques da silva, 17",38.730262,-9.13207
100193/AL,2019-07-18,Casa do Terceiro,Apartamento,3.0,6,"Travessa Cais do Tojo, 7",1200-082,Misericórdia,travessa cais do tojo,travessa do cais do tojo,done,2019,7,7.0,"travessa do cais do tojo, 7",38.70832410000001,-9.1520927
100253/AL,2019-07-19,Trinas Dois,Apartamento,4.0,4,"Rua Trinas, 130",1200-860,Estrela,rua trinas,rua das trinas,done,2019,7,130.0,"rua das trinas, 130",38.7103084,-9.1593282
100254/AL,2019-07-19,Trinas Um,Apartamento,4.0,4,"Rua Trinas, 130",1200-860,Estrela,rua trinas,rua das trinas,done,2019,7,130.0,"rua das trinas, 130",38.7103084,-9.1593282
100257/AL,2019-07-19,Downtown Rossio Apartment,Apartamento,7.0,10,"Rua Portas de Santo Antão, 35",1150-264,Santa Maria Maior,rua portas de santo antão,rua das portas de santo antão,done,2019,7,35.0,"rua das portas de santo antão, 35",38.7153972,-9.1398513
100258/AL,2019-07-19,Apartamento Chapim Real,Apartamento,5.0,12,"Travessa do Noronha, 15",1250-170,Santo António,travessa do noronha,travessa do noronha,done,2019,7,15.0,"travessa do noronha, 15",38.7170045,-9.1534562
100259/AL,2019-07-19,Frei Carlos,Apartamento,3.0,4,"Rua Frei Carlos, 14",1600-096,Avenidas Novas,rua frei carlos,rua frei carlos,done,2019,7,14.0,"rua frei carlos, 14",38.7456624,-9.1576869
100260/AL,2019-07-19,Rossio Square Apartment,Apartamento,7.0,10,"Rua Portas de Santo Antão, 35",1150-264,Santa Maria Maior,rua portas de santo antão,rua das portas de santo antão,done,2019,7,35.0,"rua das portas de santo antão, 35",38.7153972,-9.1398513
100261/AL,2019-07-19,Almirante 141,Apartamento,4.0,6,"Avenida Almirante Reis, 141",1150-015,Arroios,avenida almirante reis,avenida almirante reis,done,2019,7,141.0,"avenida almirante reis, 141",38.7325728,-9.1346325
100331/AL,2019-07-20,Olá Lisbon - Olaias,Apartamento,3.0,6,"Avenida Engenheiro Arantes e Oliveira, 4",1900-222,Areeiro,avenida engenheiro arantes e oliveira,avenida engenheiro arantes e oliveira,done,2019,7,4.0,"avenida engenheiro arantes e oliveira, 4",38.7388613,-9.124602
100332/AL,2019-07-20,Bombarda Flat,Apartamento,3.0,6,"Rua Bombarda, 7",1100-097,Arroios,rua bombarda,rua da bombarda,done,2019,7,7.0,"rua da bombarda, 7",38.7194858,-9.1343913
100333/AL,2019-07-20,Ouro & Prata,Apartamento,2.0,4,"Rua Crucifixo, 71",1100-182,Santa Maria Maior,rua crucifixo,rua do crucifixo,done,2019,7,71.0,"rua do crucifixo, 71",38.7104188,-9.1389649
100334/AL,2019-07-20,Luxury City Centre Apartments,Apartamento,2.0,4,"Rua Barata Salgueiro, 29",1250-042,Santo António,rua barata salgueiro,rua barata salgueiro,done,2019,7,29.0,"rua barata salgueiro, 29",38.7212685,-9.1480997
100335/AL,2019-07-20,Lisbon Historical Carnide I,Apartamento,2.0,4,"Rua do Machado, 12",1500-395,Carnide,rua do machado,rua do machado,done,2019,7,12.0,"rua do machado, 12",38.7598137,-9.1883656
100336/AL,2019-07-20,Lisbon Historical Carnide III,Apartamento,6.0,9,"Rua Neves Costa, 15",1600-532,Carnide,rua neves costa,rua neves costa,done,2019,7,15.0,"rua neves costa, 15",38.7599272,-9.1883389
100337/AL,2019-07-20,Lisbon Historical Carnide II,Apartamento,2.0,4,"Rua Neves Costa, 17",1600-532,Carnide,rua neves costa,rua neves costa,done,2019,7,17.0,"rua neves costa, 17",38.759916,-9.1883836
100339/AL,2019-07-20,Casa Serra,Apartamento,2.0,4,"Rua Tomás da Anunciação, 16",1350-327,Campo de Ourique,rua tomás da anunciação,rua tomás de anunciação,done,2019,7,16.0,"rua tomás de anunciação, 16",38.7156267,-9.165088
100340/AL,2019-07-20,Casa da Estrela,Apartamento,2.0,4,"Rua Navegantes, 47/49",1200-729,Estrela,rua navegantes,rua dos navegantes,done,2019,7,49.0,"rua dos navegantes, 49",38.71220191462367,-9.160515600511845
100342/AL,2019-07-20,Ouro & Prata,Apartamento,2.0,4,"Rua Crucifixo, 75",1100-182,Santa Maria Maior,rua crucifixo,rua do crucifixo,done,2019,7,75.0,"rua do crucifixo, 75",38.710441,-9.1390489
