Rua,NrAlojamentos
AVENIDA ALMIRANTE REIS,202
AVENIDA D JOÃO II,144
RUA DOS FANQUEIROS,122
RUA DA BOAVISTA,101
RUA DA ATALAIA,100
RUA DA MADALENA,99
PRAÇA DE DOM LUÍS I,98
RUA DOS REMÉDIOS,97
RUA DAS ESCOLAS GERAIS,88
COSTA DO CASTELO,81
RUA DA ROSA,79
RUA DO BENFORMOSO,78
RUA DOS CORREEIROS,76
RUA DOS POIAIS DE SÃO BENTO,76
RUA DE SÃO JULIÃO,75
RUA DO OLIVAL,75
RUA DO POÇO DOS NEGROS,75
RUA DA PRATA,73
RUA DO DIÁRIO DE NOTÍCIAS,73
RUA MARIA PIA,73
RUA DO CRUCIFIXO,71
RUA DE SÃO BENTO,71
LARGO DAS OLARIAS,68
RUA DA BICA DUARTE BELO,68
RUA DE SÃO PAULO,67
RUA DOS DOURADORES,66
RUA DOS BACALHOEIROS,66
RUA DA MISERICÓRDIA,64
CALÇADA DE SANTANA,63
RUA DE SÃO JOSÉ,63
AVENIDA JOÃO CRISÓSTOMO,63
AVENIDA DUQUE DE LOULÉ,62
RUA MORAIS SOARES,62
RUA VICENTE BORGA,60
RUA CECÍLIO DE SOUSA,60
RUA AUGUSTA,59
RUA DA PALMA,59
RUA DA PENHA DE FRANÇA,59
RUA LUCIANO CORDEIRO,59
RUA DAMASCENO MONTEIRO,59
RUA DOS ANJOS,58
RUA CASTILHO,58
RUA DO ARCO DA GRAÇA,58
RUA DOS MOUROS,56
RUA DA OLIVEIRA AO CARMO,55
RUA DO NORTE,54
AVENIDA ANTÓNIO AUGUSTO DE AGUIAR,53
AVENIDA VINTE E QUATRO DE JULHO,53
RUA DE SANTA MARTA,52
RUA LUZ SORIANO,52
CALÇADA DE SÃO VICENTE,51
RUA DA REGUEIRA,51
RUA DE CASTELO PICÃO,51
RUA DOS SAPATEIROS,51
CALÇADA MARQUÊS DE ABRANTES,51
RUA DA ADIÇA,50
RUA DA BELA VISTA À GRAÇA,50
RUA ÁUREA,49
RUA DA BOMBARDA,49
RUA DA BARROCA,49
RUA DE SÃO MIGUEL,49
RUA RODRIGO DA FONSECA,48
RUA DA SENHORA DA GLÓRIA,48
RUA DO SALVADOR,48
RUA DA GLÓRIA,47
CAMPO DE SANTA CLARA,45
RUA DO SALITRE,45
RUA DO EMBAIXADOR,45
RUA DE GUILHERME BRAGA,44
RUA DO SOL A SANTA CATARINA,44
CALÇADA DO COMBRO,44
TRAVESSA DO TERREIRINHO,44
RUA DE SANTO AMARO,44
RUA DO PASSADIÇO,43
RUA ANTÓNIO PEDRO,43
RUA DAS FARINHAS,43
RUA DO FERRAGIAL,43
RUA DOS HERÓIS DE QUIONGA,43
TRAVESSA DOS FIÉIS DE DEUS,42
RUA DE SANTA JUSTA,42
RUA RODRIGUES SAMPAIO,41
RUA DE SÃO BOAVENTURA,41
RUA DO TELHAL,41
CALÇADA DE SANTO ANDRÉ,41
CALÇADINHA DO TIJOLO,41
AVENIDA DOM CARLOS I,40
RUA DE SÃO JOÃO DA MATA,40
RUA BARÃO DE SABROSA,40
CALÇADA DE SANTO AMARO,40
RUA DE SÃO LÁZARO,40
CALÇADA DO MONTE,40
AVENIDA DA LIBERDADE,39
RUA DO CARMO,39
RUA DOS LAGARES,39
TRAVESSA DO TERREIRO A SANTA CATARINA,39
