rua_padronizada,FREGUESIAS
RUA DE SANTO ANTÓNIO DA SÉ,"['Santa Maria Maior', ' Estrela']"
RUA ANTÓNIO RAPOSO TAVARES,['Belém']
RUA DO QUATRO DE INFANTARIA,['Campo de Ourique']
CALÇADA DA ESTAÇÃO,['Campolide']
AZINHAGA DE ENTREMUROS,['Lumiar']
TRAVESSA DO FALASÓ,['Santo António']
RUA NOVA DO ALMADA,['Santa Maria Maior']
RUA AFONSO DOMINGUES,['São Vicente']
AZINHAGA DA ALAGUEZA,['Olivais']
RUA ARISTIDES DE SOUSA MENDES,"['Carnide', ' Lumiar']"
ESTRADA DE QUELUZ,"['Ajuda', ' Belém', ' Benfica']"
RUA DA CONDESSA,['Santa Maria Maior']
TRAVESSA DA BOAHORA AO BAIRRO ALTO,['Misericórdia']
TRAVESSA DE CIMA DOS QUARTÉIS,['Campo de Ourique']
RUA COELHO DA ROCHA,['Campo de Ourique']
TRAVESSA DO COMBRO,['Estrela']
RUA ARMANDO DE LUCENA,['Ajuda']
RUA PEDRO BANDEIRA,['Lumiar']
BECO DOS CAPACHINHOS,['Estrela']
BECO DO SABUGUEIRO,['Alcântara']
RUA VINTE E DOIS BAIRRO DO ALTO DA AJUDA,['Ajuda']
RUA VINTE E NOVE BAIRRO DO ALTO DA AJUDA,['Ajuda']
TRAVESSA DA ARRÁBIDA,['Campo de Ourique']
RUA DAS PEDRAS NEGRAS,['Santa Maria Maior']
CAMPO DE SANTA CLARA,['São Vicente']
RUA DR JOSÉ SARAIVA,['Olivais']
RUA DO TEIXEIRA,['Misericórdia']
RUA DA METADE,['Santo António']
PRAÇA AIRES DE ORNELAS,['Penha de França']
RUA DE XAVIER CORDEIRO,['Areeiro']
RUA PADRE LUÍS FRÓIS,['Belém']
AZINHAGA DO FERRÃO,['Marvila']
RUA DE MARRACUENE,['Olivais']
RUA CIDADE DE CARMONA,['Olivais']
RUA TOMÁS DA FONSECA,"['Alvalade', ' São Domingos de Benfica']"
RUA DOS CAETANOS,['Misericórdia']
RUA LUZ SORIANO,['Misericórdia']
RUA DA VINHA,['Misericórdia']
RUA DOM JOÃO V,"['Campo de Ourique', ' Santo António']"
RUA JOÃO DIAS,['Belém']
RUA JOÃO BAPTISTA RIBEIRO,['Benfica']
RUA DA ALEGRIA,['Santo António']
RUA VILA DA FULACUNDA,['Olivais']
LARGO DO CONTADORMOR,['Santa Maria Maior']
TRAVESSA NOVA DE SÃO DOMINGOS,['Santa Maria Maior']
RUA DE SÃO JOÃO DA PRAÇA,['Santa Maria Maior']
RUA DO GALVÃO,['Belém']
TRAVESSA DO ALECRIM,['Misericórdia']
RUA DA FÉ,['Santo António']
PÁTIO DA CRUZ,['Santa Maria Maior']
LARGO DE SANTO ANTONINHO,['Misericórdia']
TRAVESSA DA RIBEIRA NOVA,['Misericórdia']
RUA MADRE PURIFICAÇÃO DOS ANJOS SILVA,['Alvalade']
BECO DOS BEGUINHOS,['São Vicente']
BECO DO COLÉGIO DOS NOBRES,['Santo António']
PASSEIO DA VILA EXPO,['Parque das Nações']
PRAÇA EUROPA,['Misericórdia']
TRAVESSA DA PRAÇA,['Belém']
LARGO PADRE FILIPE CARREIRA ROSÁRIO,['Carnide']
RUA DA ASSUNÇÃO,['Santa Maria Maior']
BECO DAS MIL PATACAS,['Santa Maria Maior']
RUA DO RIO DAS PÉROLAS,['Parque das Nações']
RUA ROGÉRIO DE MOURA,['Santa Clara']
RUA CIDADE DE NOVA LISBOA,['Olivais']
LARGO FREDERICO VALSASSINA,['Marvila']
ROTUNDA ANTÓNIO DIAS LOURENÇO,['Lumiar']
RUA VILA DE BISSORÃ,['Olivais']
RUA SOUSA PINTO,['Santo António']
TRAVESSA DE SÃO JOÃO DA PRAÇA,['Santa Maria Maior']
BECO DO SALVADOR,['São Vicente']
LARGO DE SÃO SEBASTIÃO DA PEDREIRA,['Avenidas Novas']
PRAÇA MAR DA PALHA,['Parque das Nações']
RUA DE SÃO FRANCISCO DE SALES,['Santo António']
LARGO WILLY BRANDT,['Lumiar']
RUA DA ILHA TERCEIRA,['Arroios']
BECO DOS CATIVOS,['Santa Maria Maior']
